#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: Oobi.png (2044 x 2772)
# $TexturePacker:SmartUpdate:fa04f334a240526e1c6c44bb82ed5d60:314dcc0ee8659f838e3fb58669ab5c76:28756f7154ae4c2d414233333f65cbda$
#

Oobi/Blink/Oobi_Blink_01;0;1515;1318;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Blink/Oobi_Blink_02;0;1494;1991;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Blink/Oobi_Blink_03;0;1494;2198;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Blink/Oobi_Blink_04;0;1494;1991;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Blink/Oobi_Blink_05;0;1494;2405;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Death/Oobi_Death_01;0;1707;1751;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Death/Oobi_Death_02;0;1707;1958;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Death/Oobi_Death_03;0;1501;1525;219;224;219;224;0.4246575342465753;0.4419642857142857
Oobi/Death/Oobi_Death_04;0;1799;480;226;226;226;226;0.4469026548672566;0.4469026548672566
Oobi/Death/Oobi_Death_05;0;1799;244;238;234;238;234;0.47478991596638653;0.4658119658119658
Oobi/Death/Oobi_Death_06;0;1799;1;244;241;244;241;0.48770491803278687;0.4854771784232365
Oobi/Death/Oobi_Death_07;1;1423;746;249;250;250;249;0.5;0.5020080321285141
Oobi/Death/Oobi_Death_08;0;1494;1751;211;238;211;238;0.4028436018957346;0.47478991596638653
Oobi/DropCollect/Oobi_DropCollect_01;0;1701;2165;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/DropCollect/Oobi_DropCollect_02;0;1701;2372;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/DropCollect/Oobi_DropCollect_03;0;1683;708;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Idle/Oobi_Idle_01;0;1674;915;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/Idle/Oobi_Idle_02;0;1674;915;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/TakeDamage/Oobi_TakeDamage_01;0;1774;1122;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/TakeDamage/Oobi_TakeDamage_02;0;1722;1329;205;205;205;205;0.3853658536585366;0.3951219512195122
Oobi/TakeDamage/Oobi_TakeDamage_03;0;1722;1536;205;205;205;205;0.3853658536585366;0.3951219512195122
Plane/Plane_001;0;763;1196;711;125;711;125;0.5098452883263009;-0.156
Plane/Plane_003;1;1683;1;114;705;705;114;0.5141843971631206;-0.36403508771929827
Plane/Plane_005;0;674;1726;692;149;692;149;0.5238439306358381;0.1912751677852349
Plane/Plane_007;0;674;1528;673;196;673;196;0.5386329866270431;0.625
Plane/Plane_009;0;763;746;658;223;658;223;0.5509118541033434;0.7914798206278026
Plane/Plane_011;0;763;971;658;223;658;223;0.5509118541033434;0.7914798206278026
Plane/Plane_013;0;674;1323;669;203;669;203;0.5418535127055306;0.6724137931034483
Plane/Plane_015;1;775;1877;175;683;683;175;0.5307467057101025;0.46
Plane/Plane_017;1;952;1877;139;695;695;139;0.5215827338129496;0.061151079136690545
Plane/Plane_019;1;1566;1;115;706;706;115;0.5134560906515581;-0.34347826086956523
Plane/Plane_021;1;1093;1877;136;714;714;136;0.507703081232493;0.01838235294117647
Plane/Plane_023;0;846;589;718;155;718;155;0.504874651810585;0.26129032258064516
Plane/Plane_025;1;557;1898;216;719;719;216;0.5041724617524339;0.3541666666666667
Plane/Plane_027;0;846;316;718;271;718;271;0.504874651810585;0.3929889298892989
Plane/Plane_029;1;1;1898;312;715;715;312;0.506993006993007;0.41185897435897434
Plane/Plane_031;0;846;1;715;313;715;313;0.506993006993007;0.41054313099041534
Plane/Plane_033;1;315;1898;240;720;720;240;0.5034722222222222;0.3770833333333333
Plane/Plane_035;0;1;2620;718;151;718;151;0.504874651810585;0.2152317880794702
Plane/Plane_037;1;1231;1877;133;713;713;133;0.5084151472650772;-0.02631578947368421
Plane/Plane_039;1;1366;1877;126;710;710;126;0.5105633802816901;-0.1388888888888889
Remover/Clap1;0;1;1;843;618;843;618;0.5;0.5784789644012945
Remover/Clap3;0;1;621;760;630;760;630;0.44144736842105264;0.542063492063492
Remover/Clap5;0;1;1253;671;643;671;643;0.3479880774962742;0.5342146189735615
Remover/Clap7;0;1;1253;671;643;671;643;0.3479880774962742;0.5342146189735615
Remover/Clap9;0;1;621;760;630;760;630;0.44144736842105264;0.542063492063492
Remover/Clap11;0;1;1;843;618;843;618;0.5;0.5784789644012945
Remover/Clap13;0;1;621;760;630;760;630;0.44144736842105264;0.542063492063492
Remover/Clap15;0;1;1253;671;643;671;643;0.3479880774962742;0.531104199066874
Remover/Clap17;0;1;1253;671;643;671;643;0.3479880774962742;0.5342146189735615
Remover/Clap19;0;1;621;760;630;760;630;0.44144736842105264;0.542063492063492
WaterDrop/Drop_Animations/Drop_Idle_01;0;941;2574;132;193;132;193;0.06818181818181818;0.38860103626943
WaterDrop/Drop_Animations/Drop_Idle_02;1;1075;2593;192;132;132;192;0.06818181818181818;0.3802083333333333
WaterDrop/Drop_Animations/Drop_Idle_03;1;1269;2592;192;132;132;192;0.06818181818181818;0.3802083333333333
WaterDrop/Drop_Animations/Drop_Idle_04;0;1701;2579;132;192;132;192;0.06818181818181818;0.3802083333333333
WaterDrop/Drop_Animations/Drop_Idle_05;0;1835;2579;132;192;132;192;0.06818181818181818;0.3802083333333333
WaterDrop/Drop_Animations/Drop_Idle_06;0;807;2562;132;194;132;194;0.06818181818181818;0.3865979381443298
WaterDrop/Drop_Animations/Drop_Idle_07;1;1463;2612;194;132;132;194;0.06818181818181818;0.3865979381443298
WaterDrop/Drop_Animations/Drop_Idle_08;0;1890;708;132;194;132;194;0.06818181818181818;0.3865979381443298
WaterDrop/Drop_Animations/Drop_Idle_09;0;1640;1122;132;194;132;194;0.06818181818181818;0.3865979381443298
WaterDrop/Drop_Animations/Drop_Idle_10;0;1881;915;132;194;132;194;0.06818181818181818;0.3865979381443298
WaterDrop/Drop_Animations/Drop_Idle_11;0;1908;2165;132;194;132;194;0.06818181818181818;0.3865979381443298
WaterDrop/Splash_Animations/Drop_Splash_01;0;721;2619;84;152;84;152;-0.4642857142857143;0.26973684210526316
WaterDrop/Splash_Animations/Drop_Splash_02;0;1908;2361;101;115;101;115;-0.22772277227722773;-0.28695652173913044
WaterDrop/Splash_Animations/Drop_Splash_03;0;1908;2478;112;94;112;94;-0.11607142857142858;-0.6276595744680851
WaterDrop/Splash_Animations/Drop_Splash_04;1;1368;1701;112;148;148;112;0.1554054054054054;-0.33035714285714285
WaterDrop/Splash_Animations/Drop_Splash_05;0;1476;1179;162;137;162;137;0.22839506172839505;-0.051094890510948954
WaterDrop/Splash_Animations/Drop_Splash_06;1;1349;1522;150;177;177;150;0.2994350282485876;0.04666666666666667
WaterDrop/Splash_Animations/Drop_Splash_07;1;1345;1323;168;197;197;168;0.3705583756345177;0.17261904761904762
WaterDrop/Splash_Animations/Drop_Splash_08;0;1423;998;209;179;209;179;0.4066985645933014;0.22905027932960895
